"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_1}.jpg","nok","0.27","793.57"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_2}.jpg","nok","0.39","125.8"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_3}.jpg","nok","0.22","125.98"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_4}.jpg","nok","0.21","128.14"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_5}.jpg","ok","0.17","102.19"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_6}.jpg","nok","0.42","93.88"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_7}.jpg","nok","0.28","125.09"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_8}.jpg","nok","0.27","121.32"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_9}.jpg","ok","0.19","127.74"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_10}.jpg","nok","0.22","102.99"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_11}.jpg","nok","0.29","126.81"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_12}.jpg","nok","0.37","126.21"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_13}.jpg","ok","0.19","124.6"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_14}.jpg","nok","0.23","124.86"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_15}.jpg","nok","0.32","111.19"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_16}.jpg","nok","0.22","126.29"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_17}.jpg","nok","0.23","117.45"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_18}.jpg","nok","0.46","125.57"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_19}.jpg","nok","0.54","108.03"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_20}.jpg","nok","0.21","96.27"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_21}.jpg","ok","0.13","62.38"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{1_1-1_22}.jpg","ok","0.18","127.61"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{2_1-1_23}.jpg","nok","0.28","104.76"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{2_1-1_24}.jpg","nok","0.24","126.07"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{2_1-1_25}.jpg","ok","0.2","102.15"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{2_1-1_26}.jpg","nok","0.28","92.69"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{3_1-1_27}.jpg","nok","0.67","128.15"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{3_1-1_28}.jpg","nok","0.3","126.84"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240923\000000001\000000001-1-{3_1-1_29}.jpg","ok","0.2","105.49"
