"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_1}.jpg","nok","0.62","710.17"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_2}.jpg","nok","0.83","131.93"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_3}.jpg","nok","0.58","129.94"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_4}.jpg","nok","0.7","129.12"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_5}.jpg","nok","1.08","133.53"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_6}.jpg","nok","0.54","130.31"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_7}.jpg","nok","0.7","129.63"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_8}.jpg","nok","0.6","129.42"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_9}.jpg","nok","0.63","128.05"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_10}.jpg","nok","0.61","129.32"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_11}.jpg","nok","0.66","131.72"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_12}.jpg","nok","0.77","134.62"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_13}.jpg","nok","0.66","128.76"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_14}.jpg","nok","0.58","131.5"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_15}.jpg","nok","0.74","141.76"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_16}.jpg","nok","0.73","145.06"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_17}.jpg","nok","0.85","145.69"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_18}.jpg","nok","0.67","133.42"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_19}.jpg","nok","0.81","154.69"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_20}.jpg","nok","0.75","130.45"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_21}.jpg","nok","1.13","132.27"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_22}.jpg","nok","1.05","133.44"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{2_1-1_23}.jpg","nok","1.14","129.91"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{2_1-1_24}.jpg","nok","0.8","129.77"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{2_1-1_25}.jpg","nok","0.8","133.11"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{2_1-1_26}.jpg","nok","1.07","135.47"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{2_1-1_27}.jpg","nok","0.93","127.41"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{2_1-1_28}.jpg","nok","0.8","133.17"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{2_1-1_29}.jpg","nok","0.52","137.91"
"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_1}.jpg","nok","0.62","710.17"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_2}.jpg","nok","0.83","131.93"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_3}.jpg","nok","0.58","129.94"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_4}.jpg","nok","0.7","129.12"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_5}.jpg","nok","1.08","133.53"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_6}.jpg","nok","0.54","130.31"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_7}.jpg","nok","0.7","129.63"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_8}.jpg","nok","0.6","129.42"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_9}.jpg","nok","0.63","128.05"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_10}.jpg","nok","0.61","129.32"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_11}.jpg","nok","0.66","131.72"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_12}.jpg","nok","0.77","134.62"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_13}.jpg","nok","0.66","128.76"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_14}.jpg","nok","0.58","131.5"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_15}.jpg","nok","0.74","141.76"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241106\123456789\123456789-1-{1_1-1_16}.jpg","nok","0.73","145.06"
