"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_0}.jpg","nok","1.78","138.07"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_1}.jpg","nok","1.99","155.03"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_2}.jpg","nok","1.93","166.44"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_3}.jpg","nok","2.8","160.5"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_4}.jpg","nok","1.88","160.57"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_5}.jpg","nok","2","166.37"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_6}.jpg","nok","1.96","170.09"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_7}.jpg","nok","2.09","166.84"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_8}.jpg","nok","2.04","148.62"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_9}.jpg","nok","1.97","143.34"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_10}.jpg","nok","2.05","151.95"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_11}.jpg","nok","2.06","157.53"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_12}.jpg","nok","1.91","186.31"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_13}.jpg","nok","1.94","163.96"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_14}.jpg","nok","2.22","159.97"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_15}.jpg","nok","1.71","157.02"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_16}.jpg","nok","2.11","152.64"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_17}.jpg","nok","1.9","145.68"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_18}.jpg","nok","2.56","158.91"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_19}.jpg","nok","2.06","177.33"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_20}.jpg","nok","2.93","160.02"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{1_1-1_21}.jpg","nok","1.54","158.53"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{2_1-1_22}.jpg","nok","2.53","161.91"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{2_1-1_23}.jpg","nok","1.95","151.21"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{2_1-1_24}.jpg","nok","1.78","158.46"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{2_1-1_25}.jpg","nok","2.86","152.02"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{3_1-1_26}.jpg","nok","2.76","157.87"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{3_1-1_27}.jpg","nok","2.85","159.9"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240913\123456789\123456789-1-{3_1-1_28}.jpg","nok","2.57","151.9"
