"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_1}.jpg","nok","2.4","794.57"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_2}.jpg","nok","2.33","126.75"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_3}.jpg","nok","2.52","103.78"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_4}.jpg","nok","2.28","127.8"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_5}.jpg","nok","2.29","121.26"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_6}.jpg","nok","2.34","98.36"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_7}.jpg","nok","2.31","124.27"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_8}.jpg","nok","2.28","118.94"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_9}.jpg","nok","2.26","101.74"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_10}.jpg","nok","2.29","127.24"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_11}.jpg","nok","2.3","104.09"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_12}.jpg","nok","2.3","128.32"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_13}.jpg","nok","2.26","119.24"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_14}.jpg","nok","2.37","106.29"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_15}.jpg","nok","2.28","124.9"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_16}.jpg","nok","2.45","125.62"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_17}.jpg","nok","2.3","127.16"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_18}.jpg","nok","2.26","109.04"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_19}.jpg","nok","2.43","127.96"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_20}.jpg","nok","2.27","124.36"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_21}.jpg","nok","2.36","103.65"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_22}.jpg","nok","2.22","127.43"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_23}.jpg","nok","2.28","126.58"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_24}.jpg","nok","2.3","127.98"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_25}.jpg","nok","2.31","124.69"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_26}.jpg","nok","2.27","116.03"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_27}.jpg","nok","2.22","123.17"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_28}.jpg","nok","2.3","125.95"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_29}.jpg","nok","3.88","125.18"
"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_1}.jpg","nok","2.4","794.57"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_2}.jpg","nok","2.33","126.75"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_3}.jpg","nok","2.52","103.78"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_4}.jpg","nok","2.28","127.8"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_5}.jpg","nok","2.29","121.26"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_6}.jpg","nok","2.34","98.36"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_7}.jpg","nok","2.31","124.27"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_8}.jpg","nok","2.28","118.94"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_9}.jpg","nok","2.26","101.74"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_10}.jpg","nok","2.29","127.24"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_11}.jpg","nok","2.3","104.09"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_12}.jpg","nok","2.3","128.32"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_13}.jpg","nok","2.26","119.24"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_14}.jpg","nok","2.37","106.29"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_15}.jpg","nok","2.28","124.9"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_16}.jpg","nok","2.45","125.62"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_17}.jpg","nok","2.3","127.16"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_18}.jpg","nok","2.26","109.04"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_19}.jpg","nok","2.43","127.96"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_20}.jpg","nok","2.27","124.36"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_21}.jpg","nok","2.36","103.65"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{1_1-1_22}.jpg","nok","2.22","127.43"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_23}.jpg","nok","2.28","126.58"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_24}.jpg","nok","2.3","127.98"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_25}.jpg","nok","2.31","124.69"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_26}.jpg","nok","2.27","116.03"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_27}.jpg","nok","2.22","123.17"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_28}.jpg","nok","2.3","125.95"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240926\000000001\000000001-1-{2_1-1_29}.jpg","nok","3.88","125.18"
