"No.","File Name","Predicted","Confinence(%)","Predicted With Condition","Min Area","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_2}.jpg","ok","0.46","ok","0","153.73"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_3}.jpg","ok","0.2","ok","0","148.24"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_4}.jpg","nok","1.98","nok","114474","148.41"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_5}.jpg","ok","0.33","ok","0","148.75"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_6}.jpg","ok","0.12","ok","0","145.59"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_7}.jpg","nok","0.65","nok","159366","149.79"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_8}.jpg","nok","1.11","nok","162027","152.08"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_9}.jpg","ok","0.17","ok","0","174.2"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_10}.jpg","ok","0.1","ok","0","141.79"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_11}.jpg","nok","0.52","nok","5844","161.49"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_12}.jpg","ok","0.13","ok","0","163.14"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_13}.jpg","nok","1.07","nok","370086","142.83"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_14}.jpg","ok","0.22","ok","0","138.04"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_15}.jpg","nok","0.81","nok","9936","167.44"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_16}.jpg","ok","0.37","ok","0","160.39"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_17}.jpg","ok","0.14","ok","0","161.75"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_18}.jpg","nok","1.15","nok","11910","155.35"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_19}.jpg","nok","2.09","nok","22080","150.12"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_20}.jpg","ok","0.24","ok","0","163.64"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_21}.jpg","ok","0.23","ok","0","159.73"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{1_1-1_22}.jpg","nok","0.52","nok","209508","165.29"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{2_1-1_23}.jpg","nok","0.96","nok","176337","152.75"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{2_1-1_24}.jpg","nok","1.01","nok","554961","160.09"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{2_1-1_25}.jpg","ok","0.49","ok","0","171.83"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{2_1-1_26}.jpg","nok","4.83","nok","451983","143.99"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{2_1-1_27}.jpg","nok","0.67","nok","515886","136.26"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{2_1-1_28}.jpg","nok","2.91","nok","493983","139.57"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241129\111111111\111111111-1-{2_1-1_29}.jpg","nok","4.35","nok","174852","163"
