"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_0}.jpg","nok","1.4","521.22"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_1}.jpg","nok","1.69","133.8"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_2}.jpg","nok","2.27","128.02"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_3}.jpg","nok","2.76","129.12"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_4}.jpg","nok","1.32","132.27"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_5}.jpg","nok","1.59","135.7"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_6}.jpg","nok","1.95","130.97"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_7}.jpg","nok","1.74","135.44"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_8}.jpg","nok","1.52","130.07"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_9}.jpg","nok","2.24","142.18"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_10}.jpg","nok","2.43","134.64"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_11}.jpg","nok","1.32","126.82"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_12}.jpg","nok","2.22","128.8"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_13}.jpg","nok","2.33","134.18"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_14}.jpg","nok","1.5","23.12"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_15}.jpg","nok","1.41","18.52"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_16}.jpg","nok","2.32","19.51"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_17}.jpg","nok","2.25","24.57"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_18}.jpg","nok","2.64","75.76"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_19}.jpg","nok","2.36","19.49"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_20}.jpg","nok","2.61","58.4"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{1_1-1_21}.jpg","nok","1.86","19.29"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{2_1-1_22}.jpg","nok","2.28","134.88"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{2_1-1_23}.jpg","nok","1.65","27"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{2_1-1_24}.jpg","nok","1.99","50.22"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{2_1-1_25}.jpg","nok","2.74","50.99"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{3_1-1_26}.jpg","nok","2.51","57.13"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{3_1-1_27}.jpg","nok","2.7","132.24"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240916\123456789\123456789-1-{3_1-1_28}.jpg","nok","2.44","65.86"
