"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_1}.jpg","nok","0.88","836.93"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_2}.jpg","nok","0.81","148.82"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_3}.jpg","nok","0.6","160.63"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_4}.jpg","nok","0.68","163.12"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_5}.jpg","nok","1.15","176.46"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_6}.jpg","nok","0.6","182.24"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_7}.jpg","nok","0.74","171.95"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_8}.jpg","nok","0.61","180.11"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_9}.jpg","nok","0.63","172.06"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_10}.jpg","nok","0.58","170.9"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_11}.jpg","nok","0.67","165.28"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_12}.jpg","nok","0.78","174.19"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_13}.jpg","nok","0.61","166.34"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_14}.jpg","nok","0.68","170.88"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_15}.jpg","nok","0.77","167.48"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_16}.jpg","nok","0.94","164.8"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_17}.jpg","nok","0.91","172.69"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_18}.jpg","nok","0.72","173.83"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_19}.jpg","nok","0.82","169.19"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_20}.jpg","nok","0.78","186.09"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_21}.jpg","nok","0.86","168.6"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{1_1-1_22}.jpg","nok","1.18","179.63"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{2_1-1_23}.jpg","nok","1.23","186.41"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{2_1-1_24}.jpg","nok","0.87","169.81"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{2_1-1_25}.jpg","nok","0.9","175.9"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{2_1-1_26}.jpg","nok","1.14","184.15"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{2_1-1_27}.jpg","nok","0.91","174.1"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{2_1-1_28}.jpg","nok","0.73","170.05"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\123456789\123456789-1-{2_1-1_29}.jpg","nok","0.49","175.12"
